subset,contrast,human_measure,rank,metric,observed_mean,predicted_mean,abs_err,rel_abs_err,magnitude_ratio
Agreement,UNAGREE-AGREE,SPR_RT,1,final_semantic_rank,65.62819072958922,3.339547377899256,62.28864335168996,0.9491141331069244,0.0508858668930756
Agreement,UNAGREE-AGREE,SPR_RT,2,final_syntactic_rank,65.62819072958922,2.88804465356993,62.74014607601929,0.9559938401247465,0.0440061598752534
Agreement,UNAGREE-AGREE,SPR_RT,3,syn_rank_end,65.62819072958922,2.88804465356993,62.74014607601929,0.9559938401247465,0.0440061598752534
ClassicGP,MVRR_AMB-MVRR_UAMB,SPR_RT,1,argmax_flips,210.24906328522192,1.2741134545974333,208.9749498306245,0.9939399803514511,0.0060600196485488
ClassicGP,MVRR_AMB-MVRR_UAMB,SPR_RT,2,argmax_settle_step,210.24906328522192,1.2722415314419966,208.97682175377992,0.9939488837117143,0.0060511162882856
ClassicGP,MVRR_AMB-MVRR_UAMB,SPR_RT,3,final_syntactic_rank,210.24906328522192,1.1072903283812938,209.14177295684064,0.9947334351407828,0.0052665648592172
ClassicGP,NPS_AMB-NPS_UAMB,SPR_RT,1,argmax_flips,60.030860674836504,2.1235224243290554,57.90733825050745,0.9646261539405317,0.0353738460594682
ClassicGP,NPS_AMB-NPS_UAMB,SPR_RT,2,final_semantic_rank,60.030860674836504,2.0045874671724064,58.0262732076641,0.9666073841914333,0.0333926158085666
ClassicGP,NPS_AMB-NPS_UAMB,SPR_RT,3,argmax_settle_step,60.030860674836504,1.2451946959411846,58.78566597889532,0.9792574238992522,0.0207425761007478
ClassicGP,NPZ_AMB-NPZ_UAMB,SPR_RT,1,final_semantic_rank,142.78152835206106,4.2900723589438,138.49145599311726,0.9699535898763765,0.0300464101236234
ClassicGP,NPZ_AMB-NPZ_UAMB,SPR_RT,2,final_syntactic_rank,142.78152835206106,3.273074379207495,139.50845397285357,0.9770763458201893,0.0229236541798107
ClassicGP,NPZ_AMB-NPZ_UAMB,SPR_RT,3,syn_rank_end,142.78152835206106,3.273074379207495,139.50845397285357,0.9770763458201893,0.0229236541798107
RelativeClause,RC_Obj-RC_Subj,SPR_RT,1,final_semantic_rank,-12.085104575656905,-10.610022500178736,1.4750820754781682,0.1220578660485433,0.8779421339514567
RelativeClause,RC_Obj-RC_Subj,SPR_RT,2,final_syntactic_rank,-12.085104575656905,-4.287148575591935,7.7979560000649695,0.6452534979111755,0.3547465020888245
RelativeClause,RC_Obj-RC_Subj,SPR_RT,3,syn_rank_end,-12.085104575656905,-4.287148575591935,7.7979560000649695,0.6452534979111755,0.3547465020888245
